year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
2023,The Swan Princess: Far Longer Than Forever,5.8,6,0,0,81,"Animation, Family, Adventure"
2007,Alvin and the Chipmunks,5.8,4188,60000000,361366633,92,"Animation, Family, Fantasy, Comedy"
2014,Hercules,5.8,3870,100000000,244819862,99,"Adventure, Action"
2023,Silent Night,5.8,220,0,0,104,"Crime, Action"
2001,Scary Movie 2,5.8,4353,45000000,141200000,83,Comedy
2018,The Dark Kingdom,5.7,44,126580,0,85,"Adventure, Action, Science Fiction, Fantasy"
2022,One Week Friends,5.7,112,0,0,106,Drama
2022,Dead for a Dollar,5.7,177,0,81403,106,"Western, Action, Thriller"
2023,Killer Book Club,5.7,221,0,0,89,"Horror, Thriller"
2017,Shockwave: Countdown to Disaster,5.7,57,0,0,90,"Science Fiction, Adventure, Thriller, Action"
2022,Shark Bait,5.7,278,0,0,87,"Action, Adventure, Thriller, Horror"
2022,Galaxy Games,5.7,7,0,0,83,Fantasy
2023,Condor's Nest,5.7,15,0,0,103,"Action, War"
2023,Mob Land,5.7,48,0,0,111,"Thriller, Action, Crime"
2017,The Dark Tower,5.7,4737,60000000,113231078,95,"Science Fiction, Action, Fantasy"
1998,Godzilla,5.6,3613,130000000,379000000,138,"Action, Science Fiction, Thriller"
2023,Lord of Misrule,5.6,12,0,0,104,Horror
2017,El Camino Christmas,5.6,300,0,0,97,"Comedy, Crime, Drama"
2018,The Predator,5.6,4346,88000000,160542134,107,"Action, Science Fiction, Adventure"
1986,Exploits of a Young Don Juan,5.6,172,0,0,100,"Drama, Comedy"
2008,Babylon A.D.,5.6,1956,70000000,72109200,101,"Action, Science Fiction, Adventure, Thriller"
2009,Wrong Turn 3: Left for Dead,5.6,1062,3000000,0,91,"Thriller, Horror"
2023,Peter Pan & Wendy,5.6,581,0,0,106,"Family, Fantasy, Adventure, Action"
2023,Hell Camp: Teen Nightmare,5.6,8,0,0,90,Documentary
2022,Christmas Bloody Christmas,5.6,171,0,0,87,Horror
1979,Temptation of Angel,5.5,2,0,0,109,Drama
2014,The Scopia Effect,5.5,15,0,0,130,"Thriller, Horror, Science Fiction"
2013,Texas Chainsaw 3D,5.5,1568,10000000,47300000,92,"Thriller, Horror"
2006,American Pie Presents: The Naked Mile,5.5,1920,0,0,97,Comedy
2000,Cheeky,5.5,228,0,0,91,"Comedy, Drama, Romance"
2022,Jeepers Creepers: Reborn,5.5,908,5000000,6175213,88,"Mystery, Horror, Thriller"
2020,Street Savages,5.5,1,0,0,61,Action
2023,The Mount 2,5.5,16,0,0,81,Horror
1987,Love & Passion,5.5,40,0,0,98,Drama
1993,Emmanuelle 7,5.4,18,0,0,90,Drama
2010,Piranha 3D,5.4,2049,24000000,83188165,88,"Horror, Comedy"
2022,Wyrmwood: Apocalypse,5.4,87,0,0,88,"Horror, Action"
2023,Urkel Saves Santa: The Movie!,5.4,14,0,0,86,"Animation, Comedy, Family"
2023,The Conference,5.4,229,0,0,100,"Horror, Comedy, Thriller"
2022,Umma,5.4,252,0,2118582,83,"Mystery, Horror"
2021,Extraction Point,5.4,37,0,0,73,"Action, Science Fiction, Thriller"
2014,Sex Tape,5.4,3909,40000000,126069509,97,Comedy
2022,The Taming of the Shrewd,5.4,98,0,0,112,"Comedy, Romance"
2023,"Thank You, I'm Sorry",5.4,8,0,0,91,"Drama, Comedy"
2023,It's a Wonderful Knife,5.3,55,0,970781,87,"Horror, Comedy"
1997,Home Alone 3,5.3,2844,32000000,79082515,102,"Family, Comedy"
2023,The Tank,5.3,69,0,0,100,"Thriller, Horror"
2023,Fog City,5.3,3,0,0,97,"Horror, Thriller"
2023,Winnie the Pooh: Blood and Honey,5.3,1080,100000,5200000,84,"Horror, Thriller"
2023,Sentinelle,5.3,217,5000000,0,98,"Action, Comedy, Crime"
2023,Come Out Fighting,5.3,27,0,0,86,"Drama, Action, War"
2023,A Vampire in the Family,5.2,46,0,0,90,Comedy
2023,Adipurush,5.2,68,63000000,43000000,179,"Drama, Fantasy, Adventure, Action"
1986,Snake and Whip,5.2,5,0,0,70,"Drama, Thriller"
2023,A Creature Was Stirring,5.2,10,0,0,96,Horror
2004,Wild Things 2,5.1,173,2800000,0,95,"Crime, Drama, Mystery"
2021,The Serpent,5.1,23,0,0,90,Action
2023,War of the Worlds : The Attack,5.1,144,0,0,87,"Science Fiction, Thriller, Mystery"
2012,State of Emergency,5.1,65,1300000,0,90,"Science Fiction, Thriller"
2021,Doors,5.1,133,0,0,84,Science Fiction
2022,"2025: Blood, White & Blue",5,3,0,0,135,"Horror, Action, Comedy"
2023,The Boat,5,18,0,0,91,Thriller
2015,Superfast!,5,389,20000000,0,99,"Action, Comedy"
2024,Bitconned,5,5,0,0,95,"Documentary, Crime"
2023,Deep Fear,5,31,0,0,84,"Horror, Mystery, Thriller, Action"
2019,Taiki,5,1,0,0,85,TV Movie
2015,The Student,4.9,5,0,0,50,Drama
2023,Amigos,4.8,10,0,0,137,"Thriller, Action"
2023,The Rope Curse 3,4.8,9,0,0,109,Horror
2023,97 Minutes,4.8,59,7000000,0,93,"Thriller, Action, Drama"
2022,Student Body,4.7,24,0,0,88,"Thriller, Horror"
2020,Shark Season,4.6,39,0,0,87,"Thriller, Horror, Mystery, Action"
2023,Slotherhouse,4.5,44,0,0,93,"Horror, Thriller, Comedy"
1978,Women in Cellblock 9,4.5,26,0,0,75,"Horror, Action, Drama, Crime"
2022,Mega Lightning,4.5,16,0,0,90,"Science Fiction, Action, Horror"
2023,The Puppetman,4.5,4,0,1000000,0,Horror
2022,All Eyes Off Me,4.4,5,0,0,88,Drama
1971,Maid in Sweden,4.4,27,0,0,80,Drama
2023,Headspace,4.3,3,0,0,85,"Action, Adventure, Science Fiction, Animation"
2023,Escaping Paradise,4.3,4,0,0,91,"Action, Thriller"
2021,Agnes,4.2,35,0,0,93,"Horror, Drama"
1988,Emmanuelle 6,4.2,22,0,0,80,"Romance, Drama"
2023,Notre tout petit petit mariage,4.2,56,7644000,0,82,Comedy
2021,Crabs!,4.1,23,0,0,80,"Horror, Comedy"
2024,Arthur's Whisky,4,2,0,0,91,"Fantasy, Comedy"
2019,Revenge Porn: PAIN OF LOVE,4,1,0,0,70,"Drama, Romance"
2024,Night Swim,4,2,0,0,98,"Thriller, Horror"
2021,The Immortal Wars: Rebirth,3.5,2,0,0,84,Science Fiction
2018,Aragne: Sign of Vermillion,3,4,0,0,75,"Mystery, Fantasy, Horror, Animation"
2023,Dad or Mom,2.8,2,0,0,92,Comedy
2020,Agent Jade Black,2,4,0,0,101,Action
2024,Kung Fu Panda 4,0,0,0,0,0,"Family, Animation, Comedy, Adventure, Action"
2024,Rebel Moon - Part Two: The Scargiver,0,0,83000000,0,0,"Action, Science Fiction, Drama"
2024,Argylle,0,0,0,0,135,"Action, Crime, Comedy"
2022,Mantra,0,0,0,0,103,"Thriller, Horror"
